ACONITINA|Alcaloide muy tóxico que se obtiene del acónito
ACÓNITO|Planta ranunculácea venenosa, medicinal y de jardín de flores grandes y raíz fusiforme
ACONQUIJA|Sierra de la Argentina, estribación de los Andes que señala parte del límite entre Catamarca y Tucumán, altura máxima 5400 metros
ACONSEJAR|Sugerir a uno lo que ha de hacer
ACONTECER|Suceder, efectuarse un hecho
ACONTECIÓ|Sucedió, ocurrió
ACOPIADOR|Que acopia
ACOPIAR|Juntar   reunir generalmente granos   provisiones   etc
ACOPIAR|Juntar, reunir generalmente granos, provisiones, etc.
ACOPLABLE|Que se puede acoplar
ACOPLADO|Vehículo destinado a ir remolcado por otro
ACOPLADOR|Que acopla o sirve para acoplar
ACOPLAR|Unir dos piezas u objetos de modo que ajusten
ACOPLARSE|Producirse interferencias entre dos o más sistemas acústicos que impiden una correcta audición
ACOPLO|Acoplamiento o inducción eléctrica entre dos mecanismos
ACORAZADO|Buque de guerra blindado y de grandes dimensiones
ACORAZAR|Revestir con planchas de hierro o acero buques de guerra, fortificaciones, etc
ACORAZAR|Revestir con planchas de hierro o acero buques de guerra, fortificaciones, etc.
ACORCHADO|Fofo y seco como el corcho
ACORCHAR|Recubrir algo con corcho
ACORDADA|Plantilla de contornos curvos para dibujar
ACORDADO|Hecho con acuerdo y madurez
ACORDANZA|Armonía, consonancia de las cosas
ACORDE|Mús. Conjunto de tres o más sonidos diferentes combinados armónicamente
ACORDELAR|Señalar con cuerdas líneas o perímetros
ACORDEÓN|Mús. Instrumento de viento, compuesto de lengüetas de metal, un pequeño teclado de válvulas y un fuelle
ACORDES|Mús. Conjuntos de tres o más sonidos diferentes combinados armónicamente
ACORDONAR|Delimitar un sitio con un cordón
ACORNADO|Que ha recibido cornadas
ACORNAR|Dar cornadas a una persona, animal o cosa
ACORNEAR|Dar cornadas a una persona, animal o cosa
ACORRALAR|Fig. Tener a uno rodeado para que no pueda escaparse
ACORRER|Acudir en socorro o en demanda de alguien
ACORTAR|Disminuir la longitud, duración o cantidad de alguna cosa
ACORVADO|Encorvado, inclinado hacia adelante
ACORVAR|Doblar una cosa poniéndola corva
ACOSADOR|El que persigue, sin darle tregua ni reposo, a un animal o a una persona
ACOSAR|Fig. Perseguir, importunar a uno
ACOTACIÓN|Apuntamiento puesto en la margen de algún escrito o impreso
ACOTILLO|Martillo grueso de herrero
ACOYUNDAR|Poner la coyunda a los  bueyes
